"Species","Type"
"TRIFREP","7"
"CIRSVUL","7"
"RANUACR","7"
"PELTPOY","11"
"CIRCALP","7"
"CLADPHY","11"
"MELALIN","7"
"STERTOM","11"
"ORYZOPS","6"
"VACCVIT","12"
"BRACHYH","9"
"LEYMINN","6"
"RIBEGLA","4"
"POPUBAL","2"
"MERTPAN","7"
"RIBEOXY","4"
"RIBETRI","4"
"RIBELAX","4"
"ELYMTRA","6"
"LONIDIO","4"
"LYCODEN","5"
"ELAECOM","4"
"BROMPUM","6"
"GENTAMA","7"
"DELPGLA","7"
"PETAFRI","7"
"SALIRET","12"
"FESTALT","6"
"ASTRCAN","7"
"PEDILAB","7"
"SENEPSU","7"
"COELVIR","7"
"POLEPUL","7"
"CLIMDEN","9"
"ALNUINC2","4"
"EPILCIL","7"
"OXYRDIG","7"
"ACONDEL","7"
"HEDYBOR","7"
"PARNPAL","7"
"CASTUNA","7"
"AGOSERI","7"
"GERARIC","7"
"CRYPTOG","5"
"SAXITRI","7"
"OXYTCAM2","7"
"ANGEGEN","7"
"SOLICAN","7"
"SANGSTI","7"
"SALIARC","12"
"ANEMONE","7"
"SALIGLA","4"
"HERACLE","7"
"PELTMEM","11"
"VACCALA","4"
"POLYCOM","9"
"COPTASP","7"
"ADIAALE","5"
"MAIADIL","7"
"MYLITAY","10"
"SCAPBOL","10"
"LEUCACA","9"
"RANUREP","7"
"TIARTRI3","7"
"GAULSHA","3"
"HOOKERI","9"
"LEUCOLE","9"
"HOOKLUC","9"
"OENASAR","7"
"BUCKUND","9"
"PECTPET","7"
"DRYOFIL","5"
"EURHPRA","9"
"DRYOCAR","5"
"PHYSCAP","4"
"POLYMIN","7"
"PHEGOPT","5"
"POLYBRA","5"
"BLEPHAR","10"
"CEPHALO","10"
"MALUFUS","2"
"JUNGERM","10"
"ANTICUR","9"
"ISOTMYO","9"
"ASPLVIR","5"
"SCHIZAC","6"
"CAREHAY","6"
"AGROSCA","6"
"DANTINT","6"
"ARTECAM","7"
"ABIEABI","9"
"HIERUMB","7"
"NEPHRES","11"
"PENSSER","7"
"PARMSUL","11"
"PINUS","1"
"LEUCVUL","7"
"GERAERI","7"
"PLANTAG","7"
"COLLINS","7"
"CLADPLE","11"
"STERALP","11"
"PELTNEO","11"
"DICRPAL","9"
"AQUIFOR","7"
"TETRPEL","9"
"PRUNUS","2"
"PYROLA","7"
"SIBBPRO","12"
"LUPINOO1","7"
"STELCRI","7"
"LYCOPOI","5"
"POLYGLY","5"
"SPHALIN","9"
"CAREANT","6"
"EPILHOR","7"
"HYPNCIR","9"
"PICEA","1"
"CASSMER","12"
"TRAPGRA","11"
"LUETPEC","12"
"LECIDEA","11"
"PHYLGLA","12"
"NEPHARC","11"
"PACKCYM","7"
"PHLEALP","6"
"PULSOCC","7"
"VAHLATR","6"
"CARESPE","6"
"CARENIG","6"
"LUZUPIP","6"
"PODAAEQ","6"
"ANTELAN","7"
"LEPRALB","11"
"SOLOCRO","11"
"CETRISL","11"
"CETRSUB","11"
"ARNICA","7"
"DIPHALP","5"
"CAREMIP","6"
"POLYSEX","9"
"PYROMIN","7"
"RICCMUL","10"
"MITELLA","7"
"PREIQUA","10"
"BARBHAT","10"
"ATRITEN","9"
"BLEPTRI","10"
"ANEORIC","7"
"EPILLAC","7"
"SALIPSE","4"
"EQUIVAR","5"
"ARNIMOL","7"
"POLYSTR","9"
"SCHIINC1","10"
"CAREGYN","6"
"MICRLYA","7"
"AGROEXA","6"
"PLATAQU","7"
"ERIGPER","7"
"SALIDRU","4"
"EQUIFLU","5"
"CARECHO","6"
"DROSROT","7"
"CAREINT","6"
"TRICCES","6"
"CARELET","6"
"PLATSTR","7"
"GEUMRIV","7"
"CARETEN","6"
"TRIEEUR1","7"
"CAREMAG","6"
"EQUIPAL","5"
"TRIAGLU","7"
"COMANDR","7"
"SEDUORE","7"
"DIPHSIT","5"
"CLADVER","11"
"BISTVIV","7"
"SPHACAI","9"
"CAREPAC","6"
"CLADWAN","11"
"NEPHROM","11"
"CETRARI","11"
"CASTILL","7"
"POLYLOC","5"
"RIBEACE","4"
"VACCDEL","4"
"POACEAE","6"
"XANTNOO","1"
"TSUGMER","1"
"ELYMHIR","6"
"AGROGIG","6"
"RUBULEU","4"
"PLAGIOM","9"
"PINUCON","1"
"TRIFPRA","7"
